iter	Logloss
0	0.6315604827
1	0.570133517
2	0.5269509092
3	0.5002817168
4	0.4820824075
5	0.4624265265
6	0.4512351451
7	0.4408711339
8	0.4285431247
9	0.4198655888
10	0.4074041502
11	0.4023787947
12	0.3949394925
13	0.3889506617
14	0.3832660691
15	0.3757290768
16	0.3718043323
17	0.3691064683
18	0.3673647554
19	0.3626652915
20	0.3605441951
21	0.355650694
22	0.3534091896
23	0.3486887303
24	0.3456155712
25	0.3431421787
26	0.3397411483
27	0.338171183
28	0.3372001629
29	0.3354049015
30	0.3325565305
31	0.3309835395
32	0.3295470412
33	0.3285069834
34	0.3275361796
35	0.3257987163
36	0.3250346371
37	0.3233464593
38	0.322371539
39	0.3213824183
40	0.3208613463
41	0.320490141
42	0.3201777496
43	0.3187900804
44	0.3174754101
45	0.3162585411
46	0.3157145377
47	0.3150605632
48	0.3143361219
49	0.313522384
50	0.3117896542
51	0.3108844766
52	0.3096430712
53	0.3089963211
54	0.3085430438
55	0.3079493666
56	0.3076177315
57	0.307124614
58	0.3063190847
59	0.3059972593
60	0.304657934
61	0.3041618451
62	0.3035322268
63	0.302590815
64	0.3019182434
65	0.3016042997
66	0.300686132
67	0.2998643021
68	0.2991137907
69	0.2987642624
70	0.2977558342
71	0.2972647524
72	0.2968134106
73	0.2965749013
74	0.2959018671
75	0.2956513968
76	0.2953867107
77	0.2946827429
78	0.2935642964
79	0.2927943834
80	0.2924300496
81	0.2922747208
82	0.2919040787
83	0.2914979774
84	0.2909047344
85	0.2904906683
86	0.2902045391
87	0.2897130512
88	0.2895152356
89	0.2889717402
90	0.2869781721
91	0.2866036609
92	0.2862996637
93	0.2860104369
94	0.2856069259
95	0.2846434271
96	0.2837170371
97	0.2829247634
98	0.2818226145
99	0.2812600774
100	0.2802522691
101	0.2794777681
102	0.2788953729
103	0.2781230391
104	0.277525495
105	0.2769445638
106	0.2764432133
107	0.2758538505
108	0.2753525439
109	0.2748802469
110	0.2744846181
111	0.2740360607
112	0.2733546041
113	0.2726658235
114	0.2721559883
115	0.2715212278
116	0.2706447596
117	0.2702037133
118	0.2693212284
119	0.2687167912
120	0.2675879823
121	0.2667820067
122	0.2658209722
123	0.2654457251
124	0.2650600739
125	0.2628518642
126	0.2623959474
127	0.2618208306
128	0.261408242
129	0.2610857053
130	0.2602831694
131	0.2597867865
132	0.2591635125
133	0.258728385
134	0.25800118
135	0.2576594525
136	0.2571808746
137	0.256731975
138	0.2563937201
139	0.2560504777
140	0.2556460167
141	0.2549020896
142	0.2542424828
143	0.253361792
144	0.2527946693
145	0.2523332531
146	0.2519289412
147	0.2513699027
148	0.2509789761
149	0.2505114607
150	0.2501079679
151	0.2495411209
152	0.2492908469
153	0.2488323024
154	0.2485563805
155	0.2479778852
156	0.2476752305
157	0.2473512996
158	0.2469282058
159	0.2464857999
160	0.2460837504
161	0.2457452114
162	0.2451953492
163	0.2447356937
164	0.2440879569
165	0.2434882167
166	0.2431369064
167	0.2426208823
168	0.2422353425
169	0.2418291257
170	0.2413360543
171	0.2410591348
172	0.2407379749
173	0.2403920941
174	0.2401114776
175	0.2394538222
176	0.2388031528
177	0.2382016247
178	0.2378255335
179	0.2374428577
180	0.2371624416
181	0.2366278302
182	0.2360714688
183	0.2355941095
184	0.2352060349
185	0.2346791061
186	0.2340634615
187	0.2338044583
188	0.233444867
189	0.2330198642
190	0.232780587
191	0.2326040472
192	0.2323280772
193	0.2319188708
194	0.2315368735
195	0.2312611208
196	0.2308718534
197	0.2305177622
198	0.230083963
199	0.2298323683
